Sheet/Tab Name,Section,Row Number,Time,Duration,Title/Topic,Facilitator/Owner,Description/Goals,Product Tags,Links/Artifacts,HTML ID,HTML Class,HTML Parent Structure,Additional Notes
Overview,Workshop Overview,1,,,3 Planning Days,,,,,#overview > .card > .overview-grid > .kpi-card,kpi-card,.card > .overview-grid,KPI stat
Overview,Workshop Overview,2,,,11 Topics,,,,,#overview > .card > .overview-grid > .kpi-card,kpi-card,.card > .overview-grid,KPI stat
Overview,Workshop Overview,3,,,Sep 15 2026 Dreamforce Target,,,,,#overview > .card > .overview-grid > .kpi-card,kpi-card,.card > .overview-grid,KPI stat
Overview,Workshop Overview,4,,,76 Days to Dreamforce,,,,,#overview > .card > .overview-grid > .kpi-card,kpi-card,.card > .overview-grid,KPI stat with countdown ID=dfCountdown
Overview,Key Topics,1,1 hr,60m,Headless Experience,"Kent, Ravi","Align on portfolio-wide Headless 360 experience and specific use cases across Scale360, ProM, and Scale Center. MCP and platform infrastructure considerations.","Scale360, Scale Center, ProM",,#overview > .card,product-tag tag-s360/tag-sc/tag-prom,.card,Decision makers: Sri/Karishma/Laksh (pre-reviewed by Karishma)
Overview,Key Topics,2,1 hr,60m,In-App Experience,Samir,Define which features to automate and deliver proactively to users within the Scale360 product experience.,Scale360,,#overview > .card,product-tag tag-s360,.card,
Overview,Key Topics,3,1.5 hrs,90m,ProM & Scale Center Migration to Scale360 & EOL,"Kent, Ravi","Align on 12-month LRP and recommendations for migrating ProM and Scale Center customers to Scale360, including staffing, feature timelines, and EOL dates.","Scale360, Scale Center, ProM",,#overview > .card,product-tag tag-s360/tag-sc/tag-prom,.card,Decision makers: Sri/Laksh (pre-reviewed by Karishma)
Overview,Key Topics,4,1 hr,60m,Basic & Elite Scale360 Product,"Ravi, Kent",Product feature scope to inform product packaging and customer eligibility and review options and recommendations.,Scale360,,#overview > .card,product-tag tag-s360,.card,Decision makers: Sri/Laksh (pre-reviewed by Karishma)
Overview,Key Topics,5,1 hr,60m,Internal Support / CSM,"Ravi, Kent","Proposal for the Scale360 internal product experience for internal users and CSMs, drawing on Scale Center and ProM learnings.",Scale360,,#overview > .card,product-tag tag-s360,.card,Decision makers: Sri/Laksh (pre-reviewed by Karishma)
Overview,Key Topics,6,1 hr,60m,Product Launch to GA,Ravi,"Align on committed vs. stretch deliverables. Outline of product launch plan and what it takes to GA a product. Assign engineering work and ownership across multiple work streams (security, legal, etc).",Scale360,,#overview > .card,product-tag tag-s360,.card,
